HX332780,14/7/5,OTHER OFFENSE,PROBATION VIOLATION,PARKING LOT/GARAGE(NON.RESID.),Y,N,1113
HX332854,14/7/5,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,N,N,1533
HX332743,14/7/5,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1021
HX332735,14/7/5,THEFT,$500 AND UNDER,RESTAURANT,N,N,1014
HX332740,14/7/5,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE,Y,N,513
HX335512,14/7/5,BATTERY,SIMPLE,OTHER,N,N,1634
HX334240,14/7/5,THEFT,FROM BUILDING,OTHER,N,N,1912
HX333608,14/7/5,ASSAULT,SIMPLE,STREET,N,Y,2511
HX332795,14/7/5,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,922
HX332838,14/7/5,THEFT,$500 AND UNDER,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,N,N,1631
HX332748,14/7/5,BATTERY,SIMPLE,SIDEWALK,N,N,631
HX332778,14/7/5,ASSAULT,SIMPLE,SIDEWALK,Y,Y,221
HX332745,14/7/5,BATTERY,SIMPLE,STREET,Y,N,1834
HX332787,14/7/5,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,Y,N,1112
HX332777,14/7/5,OTHER OFFENSE,GUN OFFENDER: DUTY TO REGISTER,STREET,Y,N,213
HX332779,14/7/5,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,922
HX332753,14/7/5,CRIMINAL DAMAGE,TO PROPERTY,PARKING LOT/GARAGE(NON.RESID.),N,N,2011
HX332771,14/7/5,PROSTITUTION,SOLICIT ON PUBLIC WAY,SIDEWALK,Y,N,1131
HX332782,14/7/5,ASSAULT,SIMPLE,SIDEWALK,Y,N,1033
HX332943,14/7/5,ROBBERY,STRONGARM - NO WEAPON,RESIDENCE PORCH/HALLWAY,Y,N,2431
HX332823,14/7/5,WEAPONS VIOLATION,POSS FIREARM/AMMO:NO FOID CARD,STREET,Y,N,621
HX332768,14/7/5,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,Y,N,1115
HX332784,14/7/5,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,Y,N,1121
HX332776,14/7/5,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,2233
HX332752,14/7/5,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,333
HX333519,14/7/5,THEFT,OVER $500,RESIDENCE-GARAGE,N,N,1434
HX332868,14/7/5,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1532
HX333538,14/7/5,THEFT,$500 AND UNDER,ALLEY,N,N,1924
HX332839,14/7/5,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,SIDEWALK,N,N,613
HX333239,14/7/5,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,824
HX333233,14/7/5,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1513
HX333084,14/7/5,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE,N,N,2232
HX332861,14/7/5,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,831
HX332816,14/7/5,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,2522
HX333680,14/7/5,THEFT,$500 AND UNDER,RESIDENCE,N,N,712
HX333741,14/7/5,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,1121
HX334941,14/7/5,ROBBERY,ARMED: HANDGUN,STREET,N,N,715
HX332831,14/7/5,NARCOTICS,POSS: CRACK,SIDEWALK,Y,N,1532
HX332799,14/7/5,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,Y,N,1121
HX332730,14/7/5,HOMICIDE,FIRST DEGREE MURDER,STREET,N,N,726
HX332801,14/7/5,INTERFERENCE WITH PUBLIC OFFICER,RESIST/OBSTRUCT/DISARM OFFICER,SIDEWALK,Y,N,1412
HX332793,14/7/5,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,N,Y,1511
HX332797,14/7/5,OTHER OFFENSE,PAROLE VIOLATION,STREET,Y,N,934
HX332892,14/7/5,PUBLIC PEACE VIOLATION,ARSON THREAT,RESIDENCE,N,Y,332
HX332886,14/7/5,THEFT,$500 AND UNDER,STREET,N,N,1931
HX332791,14/7/5,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,Y,N,1913
